uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp,ipca_acum_ano,ipca_var_mensal
BA,2024,6,5235.6,23.409136359959344,3226.0,23.158492438287233,2009.6000000000004,0.25064392167211125,4.54,0.0
BA,2024,7,2277.2,22.73818790545886,2762.2400000000002,22.70659779705152,-485.0400000000004,0.03159010840734311,3.83,-0.67
BA,2024,8,2982.4,23.469328306925426,2379.2,23.343745564000084,603.2000000000003,0.12558274292534222,2.33,-1.44
BA,2024,9,1143.2,24.57571562430092,1537.44,24.882797472059092,-394.24,-0.30708184775817315,2.06,-0.26
BA,2024,10,2070.0,26.668729288782544,2772.32,26.564816222205234,-702.3200000000002,0.10391306657730937,2.56,0.49
BA,2024,11,6390.8,26.070428575393034,8040.08,25.64741481797629,-1649.2799999999997,0.42301375741674363,4.1,1.5
BA,2024,12,1309.2,27.213710259695297,6599.68,26.11164018115565,-5290.4800000000005,1.1020700785396471,5.62,1.46
ES,2020,1,6619.2,25.46125157732464,4379.68,25.426504495001303,2239.5199999999995,0.03474708232333512,0.86,0.86
ES,2020,2,3379.2,25.690292086782648,3739.6,25.459932593703623,-360.4000000000001,0.2303594930790247,0.69,-0.16
ES,2020,3,4460.0,24.36684552179129,2631.12,25.5447080698475,1828.88,-1.1778625480562077,2.48,1.78
ES,2020,4,774.0,23.75112729053214,1282.6399999999999,24.069755380146,-508.6399999999999,-0.3186280896138598,4.84,2.3
ES,2020,5,824.8,22.28843118531157,848.8,22.515301238769304,-24.0,-0.22687005345773414,5.39,0.53
ES,2020,6,759.2,21.68653903903904,498.08000000000004,21.184171540033933,261.12,0.502367499005107,5.73,0.32
ES,2020,7,1073.6,21.26912811402434,755.76,20.86886054878049,317.8399999999999,0.4002675652438512,5.14,-0.55
ES,2020,8,560.4,21.54074449023305,1163.04,21.306052733907645,-602.64,0.23469175632540384,6.95,1.72
ES,2020,9,1067.2,23.51575907864784,810.08,22.91611336619357,257.12,0.5996457124542687,10.35,3.17
ES,2020,10,3485.2,23.95102218960783,3071.6800000000003,23.814136604835355,413.5199999999995,0.13688558477247526,13.75,3.08
ES,2020,11,1778.4,23.710449836098785,3824.6400000000003,23.763306788465755,-2046.2400000000002,-0.05285695236696952,17.29,3.12
ES,2020,12,3085.6,25.92311945691984,4842.719999999999,25.05094351374943,-1757.1199999999994,0.8721759431704079,18.35,0.9
ES,2021,1,864.0,25.68714382179327,4379.68,25.426504495001303,-3515.6800000000003,0.2606393267919671,0.9,0.9
ES,2021,2,4760.8,24.929377311999595,3739.6,25.459932593703623,1021.2000000000003,-0.5305552817040287,-0.01,-0.91
ES,2021,3,3107.2,25.505941143718474,2631.12,25.5447080698475,476.0799999999999,-0.03876692612902488,-0.52,-0.51
ES,2021,4,1240.8,23.725711905105147,1282.6399999999999,24.069755380146,-41.83999999999992,-0.3440434750408521,-0.72,-0.2
ES,2021,5,614.8000000000001,22.733913094840553,848.8,22.515301238769304,-233.9999999999999,0.21861185607124867,0.47,1.2
ES,2021,6,854.0,21.193712310899162,498.08000000000004,21.184171540033933,355.91999999999996,0.009540770865228865,0.84,0.36
ES,2021,7,122.8,20.349927934805685,755.76,20.86886054878049,-632.96,-0.5189326139748047,1.93,1.08
ES,2021,8,1096.8,21.176065255271975,1163.04,21.306052733907645,-66.24000000000001,-0.12998747863566962,3.18,1.23
ES,2021,9,594.8,23.653830773984343,810.08,22.91611336619357,-215.2800000000001,0.7377174077907718,4.83,1.6
ES,2021,10,3834.0,23.20412146701202,3071.6800000000003,23.814136604835355,762.3199999999997,-0.6100151378233356,7.43,2.48
ES,2021,11,4128.0,22.859418948893673,3824.6400000000003,23.763306788465755,303.3599999999997,-0.9038878395720822,7.72,0.26
ES,2021,12,5123.6,23.75217595438778,4842.719999999999,25.05094351374943,280.880000000001,-1.2987675593616501,8.09,0.34
ES,2022,1,3066.8,25.440666599556447,4379.68,25.426504495001303,-1312.88,0.014162104555143884,1.47,1.47
ES,2022,2,5083.6,24.989545480819736,3739.6,25.459932593703623,1344.0000000000005,-0.4703871128838877,2.56,1.07
ES,2022,3,781.2,25.790248007767133,2631.12,25.5447080698475,-1849.9199999999998,0.24553993791963435,5.39,2.76
ES,2022,4,810.8,24.40370787927853,1282.6399999999999,24.069755380146,-471.8399999999999,0.33395249913253267,7.11,1.64
ES,2022,5,846.8000000000001,21.724662759890805,848.8,22.515301238769304,-1.9999999999998863,-0.790638478878499,6.33,-0.74
ES,2022,6,204.8,20.11875929022668,498.08000000000004,21.184171540033933,-293.28000000000003,-1.0654122498072525,7.18,0.8
ES,2022,7,386.0,20.553197492082486,755.76,20.86886054878049,-369.76,-0.31566305669800343,8.91,1.61
ES,2022,8,419.6,20.666344828479552,1163.04,21.306052733907645,-743.4399999999999,-0.639707905428093,9.67,0.7
