uf,ano,mes,chuva_mm,temp_c,media_chuva_mm,media_temp_c,anomalia_chuva,anomalia_temp
AM,2023,1,10142.4,25.274019629272086,5073.039999999999,26.549837199707174,5069.360000000001,-1.2758175704350876
AM,2023,2,10598.0,25.551040902416027,4936.0,26.67260357693675,5662.0,-1.1215626745207246
AM,2023,3,8178.4,26.05409161598606,5174.4,26.649201719701388,3004.0,-0.5951101037153279
AM,2023,4,7379.6,26.426319482192707,5189.04,26.756652144723695,2190.5600000000004,-0.3303326625309886
AM,2023,5,6644.0,26.950990612711944,4231.92,26.87015718101255,2412.08,0.08083343169939283
AM,2023,6,3171.2,26.487731364313287,2530.4,26.857362662532502,640.7999999999997,-0.3696312982192147
AM,2023,7,1955.2,27.3907205990083,1559.52,27.391906480990873,395.68000000000006,-0.001185881982571857
AM,2023,8,1611.6,28.290304784873687,1380.6399999999999,28.010750924101483,230.96000000000004,0.2795538607722037
AM,2023,9,2426.8,28.852247159681657,1651.1200000000001,28.558420234977156,775.6800000000001,0.29382692470450067
AM,2023,10,2516.0,29.049038529617555,2588.0,28.197737692460727,-72.0,0.8513008371568276
AM,2023,11,3217.6,28.43104359344798,2751.28,27.590689292535963,466.3199999999997,0.8403543009120185
AM,2023,12,6877.2,27.05047082052616,5545.84,26.82162235356599,1331.3599999999997,0.2288484669601729
AM,2024,1,6494.0,27.193471131373702,5073.039999999999,26.549837199707174,1420.960000000001,0.6436339316665283
AM,2024,2,6874.0,27.521517678296473,4936.0,26.67260357693675,1938.0,0.8489141013597212
AM,2024,3,8048.0,27.275425563703138,5174.4,26.649201719701388,2873.6000000000004,0.6262238440017498
AM,2024,4,7582.4,27.14019640596732,5189.04,26.756652144723695,2393.3599999999997,0.3835442612436246
AM,2024,5,5514.8,26.903181588627866,4231.92,26.87015718101255,1282.88,0.033024407615315
AM,2024,6,2355.6,27.298270087063585,2530.4,26.857362662532502,-174.80000000000018,0.44090742453108334
AM,2024,7,1742.0,27.304922999311113,1559.52,27.391906480990873,182.48000000000002,-0.08698348167975922
AM,2024,8,1116.8,27.901054416166996,1380.6399999999999,28.010750924101483,-263.8399999999999,-0.10969650793448693
