uf,ano,cultura,chuva_mm_safra,temp_c_safra,anomalia_chuva_safra,anomalia_temp_safra,qtd_t,area_plantada_ha,area_colhida_ha,rendimento_kg_ha,ipca_var_mensal,ipca_acum_ano
SP,2020,Milho (em grão),52644.799999999996,20.351749424443934,1258.6171428571427,-1.2334981984898323,4503594.0,810287.0,810278.0,5558.0,1.27,12.98
SP,2021,Milho (em grão),41660.0,22.37049302675858,-2860.6545454545453,0.16609654389150014,3709901.0,681655.0,680144.0,5455.0,0.84,8.05
SP,2022,Milho (em grão),47776.8,22.694020308191117,-2304.581818181818,0.4896238253240361,4785141.0,832407.0,829907.0,5766.0,0.77,11.72
SP,2023,Milho (em grão),110270.0,21.165600981450833,3376.618181818181,-1.0387955014162464,4846521.0,827274.0,825734.0,5869.0,0.98,2.41
SP,2024,Milho (em grão),79893.99999999999,23.225719137718922,615.1636363636363,1.0213226548518408,3657604.0,747217.0,723128.0,5058.0,1.37,8.83
TO,2020,Milho (em grão),40734.0,25.599835667698493,2214.914285714286,-0.5096526574373955,1430951.0,316908.0,316908.0,4515.0,1.74,14.09
TO,2021,Milho (em grão),25990.800000000003,27.020949659792027,-1191.5418181818181,0.3431843652635177,1441960.0,334551.0,334501.0,4311.0,0.84,7.94
TO,2022,Milho (em grão),30648.8,26.935168800113335,-768.0872727272726,0.2574035055848263,1936933.0,422261.0,421847.0,4592.0,0.66,11.64
TO,2023,Milho (em grão),41392.399999999994,26.294702786723143,208.60363636363638,-0.3830625078053726,2398750.0,527055.0,527045.0,4551.0,1.11,1.03
TO,2024,Milho (em grão),41929.200000000004,26.84097819214045,257.40363636363656,0.16321289761193694,2163958.0,471066.0,470656.0,4598.0,1.18,7.69
BA,2020,Soja (em grão),42438.4,25.73297567840036,4300.280000000001,-0.25185109727973654,6078010.0,1622475.0,1622475.0,3746.0,0.25,14.04
BA,2021,Soja (em grão),23758.399999999998,26.06096165578432,-2698.7085714285713,0.023364752347521493,6839555.0,1699965.0,1699965.0,4023.0,1.45,10.11
BA,2022,Soja (em grão),45381.2,25.478187516502537,390.2628571428572,-0.5594093869342583,6958197.0,1774655.0,1774655.0,3921.0,0.84,11.87
BA,2023,Soja (em grão),49382.4,25.65015631284646,961.8628571428574,-0.3874405905903383,7776560.0,1923627.0,1923627.0,4043.0,1.11,-0.39
BA,2024,Soja (em grão),42516.4,26.87228319812605,-18.99428571428572,0.8346862946892516,7668295.0,1969339.0,1969339.0,3894.0,1.46,5.62
ES,2020,Soja (em grão),15232.4,24.817379119107677,799.8399999999999,-0.3078460155669269,,,,,0.9,18.35
ES,2021,Soja (em grão),18322.0,24.776109380748995,-778.5828571428572,0.043354031356282165,,,,,0.34,8.09
ES,2022,Soja (em grão),22828.0,24.348554905387903,-134.8685714285713,-0.3842004440048064,200.0,80.0,80.0,2500.0,0.77,12.15
ES,2023,Soja (em grão),29747.600000000002,24.2935462748658,853.6457142857141,-0.4392090745269078,3780.0,1000.0,1000.0,3780.0,1.16,0.04
ES,2024,Soja (em grão),19152.800000000003,25.644869830817754,-659.897142857143,0.9121144814250448,1509.0,504.0,504.0,2994.0,1.63,7.09
GO,2020,Soja (em grão),42452.0,24.522366956325207,2658.7599999999998,0.11369244887223928,12849800.0,3577700.0,3577700.0,3592.0,1.74,14.09
GO,2021,Soja (em grão),43753.99999999999,25.139957556715697,-1605.0399999999997,0.30964006941836636,13659826.0,3857007.0,3857007.0,3542.0,0.84,7.94
GO,2022,Soja (em grão),66874.4,24.4336430460295,1697.8742857142854,-0.3966744412678277,15216144.0,4121969.0,4121969.0,3691.0,0.66,11.64
GO,2023,Soja (em grão),49795.6,24.0876434945865,-741.9542857142857,-0.7426739927108247,17405060.0,4560730.0,4560730.0,3816.0,1.11,1.03
GO,2024,Soja (em grão),45902.8,25.74397290885372,-1298.0685714285714,0.9136554215563929,16973882.0,4942088.0,4940502.0,3436.0,1.18,7.69
MA,2020,Soja (em grão),28829.2,26.393504414473387,2458.3599999999997,-0.18120653677430187,3056550.0,960900.0,960900.0,3181.0,1.74,14.09
MA,2021,Soja (em grão),11405.6,27.120057408681358,-1706.8914285714286,-0.18662088462876827,3240985.0,1023541.0,1023541.0,3166.0,0.84,7.94
MA,2022,Soja (em grão),10204.800000000001,27.84007387427852,-1878.4342857142858,0.5333955809683967,3537377.0,1099871.0,1099871.0,3216.0,0.66,11.64
